author,first_year,n_papers,affiliations_seen
A C Tort,2001,1,[]
A Calogeracos,2000,1,[]
A Dadda,1999,1,[]
A Doikou,2002,1,[]
A K Rebhan,1993,1,[]
A Kalloniatis,1996,1,[]
A Khvedelidze,2002,1,[]
A Kundu,1994,1,[]
A Kuniba,1996,1,[]
A M Semikhatov,1992,15,"['Lebedev Physics Institute', 'Lebedev Physics Inst', 'P N Lebedev Physics Institute']"
A N Theron,1997,2,[]
A Rebhan,1999,1,[]
A S Vytheeswaran,1997,2,"['Bangalore University, India']"
A Sedrakyan,1992,1,[]
A Shirzad,1999,3,[]
A. A Bytsenko,2000,1,[]
A. A. Abrikosov,1999,2,[]
A. A. Abrikosov Jr,1993,3,[]
A. A. Actor,1998,2,[]
A. A. Akhmetshin,1999,2,[]
A. A. Andrianov,1993,13,"['1,2', '2', '1', 'Institute of Physics, Sankt-Petersburg', 'Sankt-Petersburg State University']"
A. A. Balinsky,1993,4,[]
A. A. Belavin,2000,3,[]
A. A. Belov,1995,2,[]
A. A. Bichl,2000,6,[]
A. A. Broyles,2002,1,[]
A. A. Btsenko,1994,1,[]
A. A. Btysenko,1995,1,[]
A. A. Bytsenko,1992,32,['St.Petersburg State Technical University']
A. A. Cheshel,1996,1,[]
A. A. Coley,2002,1,[]
A. A. Deriglazov,1994,30,[]
A. A. Garcia,1995,1,[]
A. A. Giryavets,2001,5,[]
A. A. Johansen,1996,2,[]
A. A. Kapustnikov,1996,4,[]
A. A. Kehagias,1994,6,[]
A. A. Khelashvili,1997,2,[]
A. A. Kirillov,1999,5,"['Inst.Appl.Math., Cyb., Nizhny Novgorod']"
A. A. Logunov,1997,1,[]
A. A. Marino,1999,2,"['Osservatorio Astronomico di Capodimonte,INFN, Napoli']"
A. A. Maslikov,1997,1,['2']
A. A. Migdal,1992,3,[]
A. A. Penin,1997,1,[]
A. A. Reshetnyak,1995,7,['Seversk State Technological Institute']
A. A. Rodrigues Sobreira,1998,1,[]
A. A. Rosly,1996,2,[]
A. A. Saharian,2000,9,"['Yerevan State University, Armenia']"
A. A. Sen,2002,1,[]
A. A. Sharapov,1994,18,"['Tomsk State Univ.', '2']"
A. A. Slavnov,1992,15,[]
A. A. Smirnov,2002,1,['U. of Sao Paulo']
A. A. Soloshenko,2003,1,[]
A. A. Stolin,1994,1,"['Department of Mathematics, Royal Institute of Technology, Stockholm, Sweden']"
A. A. Tseytlin,1992,121,[]
A. A. Vladimirov,1993,6,[]
A. A. Zheltukhin,1994,12,"['Kharkov Institute of Physics,Technology']"
A. A. Zheltuklhin,1999,1,[]
A. Abada,1992,2,[]
A. Abdesselam,1994,2,[]
A. Abdurrahman,1993,3,['Rutherford Lab.']
A. Accardi,1998,1,[]
A. Achucarro,1993,5,[]
A. Adams,2001,1,[]
A. Agarwal,2002,3,[]
A. Aghamohammadi,1994,11,[]
A. Aghamohammdi,1997,1,[]
A. Agodi,1994,1,[]
A. Akhmetshin,2000,3,[]
A. Albrecht,2001,1,[]
A. Alekseev,2000,2,[]
A. Alexandrov,2001,2,[]
A. Alimohammadi,1996,1,[]
A. Alonso Izquierdo,2000,8,['U. Salamanca']
A. Anderson,1994,1,[]
A. Andrasi,1994,2,[]
A. Andrav Si,1996,1,[]
A. Antonov,1997,1,[]
A. Arhrib,1997,1,[]
A. Armoni,1995,13,[]
A. Ashtekar,1994,1,[]
A. Astashkevich,1995,2,[]
A. Aste,1996,2,['U. of Basel']
A. Aurilia,1992,13,[]
A. Azhari,1995,1,[]
A. Azizi,2002,1,['Shiraz Univ.']
A. B. Adib,2001,1,[]
A. B. Balantekin,1997,4,"['Wisconsin U., Madison,Max-Planck-Institute, Heidelberg', 'Heidelberg, Max Planck Inst.,Wisconsin U., Madison', 'Univ. of Wisconsin']"
A. B. Bylev,1997,2,[]
A. B. Hammou,2000,3,[]
A. B. Kaganovich,1998,5,[]
A. B. Kobakhidze,2000,3,[]
A. B. Kurdikov,1992,4,[]
A. B. Lahanas,2001,1,[]
A. B. Penna-Firme,1999,1,[]
A. B. Pestov,1998,2,"['BLTP, Jinr']"
A. B. Selivanov,2002,1,[]
A. B. Tanaev,1996,2,[]
A. B. Waites,1994,1,[]
A. B. Zamolodchikov,1995,3,['Rutgers']
A. Babichenko,1992,4,[]
A. Balaz,2001,1,"['Institute of Physics, Belgrade, Yugoslavia']"
A. Balinsky,1994,1,[]
A. Ballesteros,1993,7,[]
A. Barducci,1994,2,[]
A. Barroso,2001,1,[]
A. Bartoli,1994,1,[]
A. Barvinsky,1996,1,['Lebedev Physics Institute']
A. Bashir,2000,3,['U. of Michoacan']
A. Bassetto,1993,28,"['Dipartimento di Fisica, Universit\\`a di Padova,INFN, Sezione di Padova']"
A. Basu,2001,1,['Univ. of Chicago']
A. Batrachenko,2002,1,[]
A. Belavin,1996,3,[]
A. Belhaj,2000,8,[]
A. Belli,1998,1,[]
A. Bellini,1992,5,[]
A. Berard,2000,2,[]
A. Berkovich,1992,6,[]
A. Bialas,1996,1,"['Jagellonian University Krakow, Poland']"
A. Bilal,1993,6,[]
A. Blasi,2000,1,[]
A. Blaut,2003,1,[]
A. Bogojevic,1998,1,[]
A. Bohm,1999,7,[]
A. Bonanno,1997,6,[]
A. Borderies,1994,1,[]
A. Boresch,1993,2,[]
A. Borowiec,1993,4,[]
A. Borzi,1992,1,[]
A. Bossard,2000,3,['U. of Tours']
A. Boulahoual,2001,3,[]
A. Boveia,2002,1,[]
A. Boyarsky,2001,3,[]
A. Brandhuber,1992,22,[]
A. Brignole,1994,1,[]
A. Brizola,1998,3,[]
A. Buchel,2001,3,[]
A. Buonanno,1997,5,[]
A. Burinskii,1999,1,[]
A. Burnel,1994,1,[]
A. C Tort,2000,1,[]
A. C. Avram,1995,4,['1']
A. C. Cadavid,1995,1,[]
A. C. Davis,2000,8,[]
A. C. Kalloniatis,1995,5,"['Max-Planck Institut fuer Kernphysik, Heidelberg', 'Heidelberg']"
A. C. Petkou,1995,21,[]
A. C. R. Mendes,2000,2,[]
A. C. Rodrigues Mendes,2001,1,[]
A. C. Scott,1994,1,[]
A. C. Tort,1998,10,[]
A. C. V. V. De Siqueira,1993,2,[]
A. Caldararu,2003,1,[]
A. Campbell-Smith,1998,6,[]
A. Campos,1998,2,[]
A. Candiello,1993,4,[]
A. Capolupo,2001,1,[]
A. Cappelli,1992,8,[]
A. Carlini,1992,2,[]
A. Casher,1993,5,[]
A. Catal,2000,1,[]
A. Catal-Ozer,2001,1,"['METU, Ankara']"
A. Celi,2000,2,[]
A. Ceresole,1992,18,[]
A. Ch. Ganchev,1992,7,[]
A. Chakrabarti,1994,12,"['Ecole Polytechnique, France', 'Ecole Polytechnique']"
A. Chamblin,1996,12,"['Institute for Theoretical Physics, UCSB', 'Cambridge U.', 'Cambridge U., DAMTP']"
A. Chamorro,1994,2,[]
A. Chenaghlou,2000,4,[]
A. Chervov,2003,1,"['ITEP, Moscow']"
A. Chervyakov,1999,1,[]
A. Chou,1997,1,[]
A. Coley,2001,2,[]
A. Collino,1996,1,['U. of Torino']
A. Collinucci,2002,1,[]
A. Connes,1996,2,[]
A. Constandache,2001,2,[]
A. Constantin,2000,1,[]
A. Coste,1996,2,[]
A. Cucchieri,1994,2,[]
A. Culatti,1997,1,[]
A. D. Dolgov,1997,2,[]
A. D. Jackson,1996,3,[]
A. D. Kennedy,1996,1,"['SCRI, Florida State University']"
A. D. Mitov,1997,1,[]
A. D. Odintsov,1994,1,[]
A. D. Popov,1995,8,"['Bogoliubov Laboratory of Theoretical Physics, JINR, Dubna, Moscow Region, Russia']"
A. D. Speliotopoulos,1995,1,[]
A. Dabholkar,1995,1,[]
A. Dabolkhar,1992,1,[]
A. Dadda,1992,14,[]
A. Das,1992,8,[]
A. Dasgupta,2001,2,"['AEI, Golm']"
A. Dasnieres De Veigy,1996,1,[]
A. Davidson,2002,1,[]
A. De Castro,1997,4,[]
A. De Freitas,1999,1,[]
A. De Giovanni,1997,2,[]
A. De La Macorra,1997,3,['2']
A. De Martino,1998,3,"['SISSA,INFN, Trieste']"
A. De Rujula,1994,1,[]
A. De Souza Dutra,1994,13,[]
A. Debenedictis,1999,1,[]
A. Deckmyn,1993,1,[]
A. Delgado,2002,3,['Johns Hopkins University']
A. Della Selva,1995,1,[]
A. Demichev,1998,6,[]
A. Dettki,1993,2,[]
A. Dhar,2000,2,[]
A. Di Giacomo,1997,2,[]
A. Dimakis,1994,10,['Goettingen']
A. Dobado,1999,1,[]
A. Dobrosielski,1993,1,[]
A. Donini,1998,1,[]
A. Dresse,1993,2,[]
A. Dubikovsky,1994,2,[]
A. Dubin,1995,1,[]
A. Duncan,1993,2,[]
A. Duviryak,1998,3,['Inst. for Cond. Matt. Phys.']
A. Dymarsky,2001,3,[]
A. E. Chubykalo,1996,1,[]
A. E. Dorokhov,1996,1,[]
A. E. Faraggi,1997,2,[]
A. E. Gonc Calves,1996,2,"[""Instituto de F\\'{\\i}sica, Universidade de S\\~ao Paulo""]"
A. E. Goncalves,1994,15,['U. of Londrina']
A. E. Gonccalves,1994,2,[]
A. E. Kudryavtsev,1999,4,"['ITEP, Moscow']"
A. E. Motter,1998,1,[]
A. E. Nelson,1999,1,[]
A. E. Santana,1996,8,"['1,3']"
A. E. Shabad,2002,1,"['Lebedev Phys. Inst., Moscow']"
A. El Hassouni,2003,1,[]
A. El Rhalami,2001,2,[]
A. El. Rhalami,2000,1,[]
A. F. Andreev,2003,1,[]
A. F. De Lima,2002,2,[]
A. F. De Queiroz,2000,1,[]
A. F. Pasqua,2001,2,[]
A. F. R De Toledo Piza,1998,1,[]
A. F. R. De Toledo Piza,1997,1,[]
A. F. Ranada,1998,1,[]
A. Fabbri,1995,12,[]
A. Faessler,1994,1,[]
A. Fayyazuddin,1997,5,['Harvard']
A. Feinstein,1997,6,[]
A. Felce,1992,1,[]
A. Feoli,1994,4,[]
A. Ferrando,1994,4,"['1,2']"
A. Flachi,2000,5,[]
A. Foerster,1994,1,[]
A. Font,1994,8,[]
A. Forge,1995,4,[]
A. Fotopoulos,1998,3,[]
A. Fring,1992,31,[]
A. Frydryszak,1996,1,[]
A. Fujii,1998,3,[]
A. G. Abanov,1999,3,[]
A. G. Agnese,2001,1,[]
A. G. Bueno,2001,1,[]
A. G. Bytsko,1994,6,[]
A. G. Izergin,1992,3,[]
A. G. Jacksenaev,1994,2,[]
A. G. Litvak,1994,1,[]
A. G. M. Pickering,1999,1,[]
A. G. M. Schmidt,1998,6,[]
A. G. Mirzabekian,1995,2,[]
A. G. Pronko,1998,1,[]
A. G. Rodrigues,2000,1,['1']
A. G. Rojo,1994,1,[]
A. G. Sedrakyan,1992,4,[]
