author1,author2,first_year,weight
A C Tort,F C Santos,2001,1
A Calogeracos,N Dombey,2000,1
A Calogeracos,P Kennedy,2000,1
A Dadda,M. Billo,1999,1
A Dadda,P. Provero,1999,1
A Doikou,P P Martin,2002,1
A K Rebhan,D G C Mckeon,1993,1
A Kalloniatis,G Thompson,1996,1
A Kalloniatis,R Delbourgo,1996,1
A Khvedelidze,D Mcmullan,2002,1
A Khvedelidze,M Lavelle,2002,1
A Khvedelidze,R Horan,2002,1
A Kundu,Orlando Ragnisco,1994,1
A Kuniba,M T Batchelor,1996,1
A Kuniba,V Fridkin,1996,1
A Kuniba,Y K Zhou,1996,1
A M Semikhatov,B Gato-Rivera,1992,1
A M Semikhatov,B L Feigin,1997,3
A M Semikhatov,I Yu Tipunin,1995,7
A M Semikhatov,M A Grigoriev,1997,3
A M Semikhatov,V A Sirota,1997,2
A N Theron,F G Scholtz,1997,2
A N Theron,H B Geyer,1997,2
A Rebhan,I T Drummond,1999,1
A Rebhan,P V Landshoff,1999,1
A Rebhan,R R Horgan,1999,1
A Sedrakyan,G. Thorleifsson,1992,1
A Sedrakyan,J. Ambjorn,1992,1
A Shirzad,F Loran,1999,2
A Shirzad,P Moyassari,2001,1
A. A Bytsenko,A. E. Goncalves,2000,1
A. A Bytsenko,S. Zerbini,2000,1
A. A. Abrikosov,Jr,1999,1
A. A. Abrikosov,Jr.,2002,1
A. A. Actor,F. G. Scholtz,1998,1
A. A. Actor,K. D. Rothe,1998,2
A. A. Akhmetshin,I. M. Krichever,1999,2
A. A. Akhmetshin,Y. S. Volvovski,1999,2
A. A. Andrianov,A. V. Sokolov,2003,1
A. A. Andrianov,D. Espriu,2002,2
A. A. Andrianov,D. N. Nishnianidze,1994,1
A. A. Andrianov,F. Cannata,1994,3
A. A. Andrianov,J. Alfaro,2002,1
A. A. Andrianov,J.-P-Dedonder,1994,1
A. A. Andrianov,J.-P. Dedonder,1996,1
A. A. Andrianov,L. Balart,2002,1
A. A. Andrianov,L. Sorbo,1998,1
A. A. Andrianov,M. V. Ioffe,1993,5
A. A. Andrianov,N. V. Romanenko,1995,1
A. A. Andrianov,P. Giacconi,2001,1
A. A. Andrianov,R. Soldati,1994,4
A. A. Andrianov,V. P. Spiridonov,1993,1
A. A. Balinsky,A. I. Balinsky,1993,1
A. A. Balinsky,Yu. Burman,1994,1
A. A. Belavin,A. V. Odesskii,2001,1
A. A. Belavin,B. L. Feigin,2000,1
A. A. Belavin,F. C. Alcaraz,2000,1
A. A. Belavin,R. A. Usmanov,2000,2
A. A. Belavin,S. Yu. Gubanov,2000,1
A. A. Belov,A. V. Antonov,1995,2
A. A. Belov,B. L. Feigin,1995,1
A. A. Belov,K. Chaltikian,1995,1
A. A. Bichl,A. Gerhold,2002,1
A. A. Bichl,E. Kraus,2001,1
A. A. Bichl,H. Grosse,2000,3
A. A. Bichl,J. M. Grimstrup,2000,6
A. A. Bichl,L. Popp,2000,5
A. A. Bichl,M. Ertl,2002,1
A. A. Bichl,M. Schweda,2000,6
A. A. Bichl,R. Wulkenhaar,2000,5
A. A. Bichl,V. Putz,2000,2
A. A. Btsenko,A. D. Odintsov,1994,1
A. A. Btsenko,S. Zerbini,1994,1
A. A. Btysenko,S. D. Odintsov,1995,1
A. A. Btysenko,S. Zerbini,1995,1
A. A. Bytsenko,A. E. Goncalves,1997,10
A. A. Bytsenko,B. M. Pimentel,2001,2
A. A. Bytsenko,E. Elizalde,1992,6
A. A. Bytsenko,F. L. Williams,1997,6
A. A. Bytsenko,G. Cognola,1995,1
A. A. Bytsenko,Guido Cognola,1996,2
A. A. Bytsenko,H. B. Nielsen,1997,1
A. A. Bytsenko,I. Brevik,1997,5
A. A. Bytsenko,L. N. Granda,1996,2
A. A. Bytsenko,L. Vanzo,1995,2
A. A. Bytsenko,M. C. B. Abdalla,2003,1
A. A. Bytsenko,M. C. Falleiros,2001,1
A. A. Bytsenko,M. Simoes,1999,1
A. A. Bytsenko,S. D. Odintsov,1992,12
A. A. Bytsenko,S. D. Odintsov Nd S. Zerbini,1992,1
A. A. Bytsenko,S. Nojiri,1998,1
A. A. Bytsenko,S. Zerbini,1992,8
A. A. Bytsenko,Sergio Zerbini,1996,2
A. A. Bytsenko,W. Da Cruz,1998,1
A. A. Bytsenko,Z. G. Kuznetsova,2001,1
A. A. Cheshel,A. K. Tsikh,1996,1
A. A. Cheshel,M. Passare,1996,1
A. A. Deriglazov,A. V. Galajinsky,1994,9
A. A. Deriglazov,C. Neves,2001,1
A. A. Deriglazov,D. M. Gitman,1997,5
A. A. Deriglazov,G. Oliveira-Neto,2002,1
A. A. Deriglazov,K. E. Evdokimov,1999,1
A. A. Deriglazov,S. L. Lyakhovich,1995,1
A. A. Deriglazov,W. Oliveira,2001,2
A. A. Garcia,D. V. Galtsov,1995,1
A. A. Garcia,O. V. Kechkin,1995,1
A. A. Giryavets,A. S. Koshelev,2001,2
A. A. Giryavets,D. M. Belov,2001,2
A. A. Giryavets,I. Ya. Arefeva,2001,5
A. A. Giryavets,P. B. Medvedev,2001,2
A. A. Johansen,D. Anselmi,1996,2
A. A. Johansen,D. Z. Freedman,1996,2
A. A. Johansen,M. T. Grisaru,1996,2
A. A. Kapustnikov,A. Pashnev,1996,1
A. A. Kapustnikov,A. Pichugin,1996,1
A. A. Kapustnikov,S. A. Ulanov,1997,1
A. A. Kehagias,E. Papantonopoulos,1995,1
A. A. Kehagias,N. A. Batakis,1995,1
A. A. Kehagias,P. A. A. Meessen,1994,1
A. A. Khelashvili,L. R. Baboukhadia,1997,1
A. A. Khelashvili,N. A. Kiknadze,1997,1
A. A. Kirillov,D. Turaev,2001,1
A. A. Kirillov,G. V. Serebryakov,2000,1
A. A. Logunov,M. A. Mestvirishvili,1997,1
A. A. Logunov,S. S. Gershtein,1997,1
A. A. Marino,C. Rubano,1999,2
A. A. Marino,P. Scudellaro,1999,2
A. A. Marino,R. De Ritis,1999,2
A. A. Maslikov,G. G. Volkov,1997,1
A. A. Maslikov,H. D. Dahmen,1997,1
A. A. Maslikov,I. A. Naumov,1997,1
A. A. Maslikov,T. Stroh,1997,1
A. A. Migdal,V. A. Kazakov,1992,1
A. A. Reshetnyak,P. M. Lavrov,1995,4
A. A. Reshetnyak,P. Yu. Moshin,1995,2
A. A. Reshetnyak,S. D. Odintsov,1996,1
A. A. Rodrigues Sobreira,E. R. Bezerra De Mello,1998,1
A. A. Rosly,K. G. Selivanov,1996,2
A. A. Saharian,A. H. Yeranyan,2002,1
A. A. Saharian,A. R. Mkrtchyan,2002,1
A. A. Saharian,A. Romeo,2000,1
A. A. Saharian,B. V. Khachatryan,2002,1
A. A. Saharian,L. Sh. Grigoryan,2002,1
A. A. Saharian,M. R. Setare,2001,5
A. A. Saharian,R. M. Avagyan,2002,1
A. A. Sen,M. C. Bento,2002,1
A. A. Sen,O. Bertolami,2002,1
A. A. Sharapov,A. P. Isaev,2002,1
A. A. Sharapov,A. Yu. Segal,1994,4
A. A. Sharapov,I. V. Gorbunov,2002,1
A. A. Sharapov,K. M. Shekhter,1996,5
A. A. Sharapov,P. O. Kazinski,2002,2
A. A. Sharapov,S. A. Lyakhovich,1994,1
A. A. Sharapov,S. L. Lyakhovich,1994,14
A. A. Sharapov,S. M. Kuzenko,1994,2
A. A. Sharapov,V. A. Dolgushev,2000,4
A. A. Slavnov,C. Sochichiu,1992,3
A. A. Slavnov,K. V. Stepanyantz,2002,1
A. A. Slavnov,M. M. Deminov,1999,2
A. A. Slavnov,S. A. Frolov,1992,3
A. A. Slavnov,T. D. Bakeyev,1996,1
A. A. Smirnov,D. M. Gitman,2002,1
A. A. Smirnov,S. P. Gavrilov,2002,1
A. A. Soloshenko,K. V. Stepanyantz,2003,1
A. A. Stolin,Sergei Khoroshkin,1994,1
A. A. Stolin,V. N. Tolstoy,1994,1
A. A. Tseytlin,A. Buchel,2001,2
A. A. Tseytlin,A. Fotopoulos,2002,1
