paper_id,author,year,affiliation
hep-th/9702129,Jouko Mickelsson,1997,
hep-th/9702008,P. S. Howe,1997,
hep-th/9702008,E. Sezgin,1997,
hep-th/9702008,P. C. West,1997,
hep-th/9708008,Nemanja Kaloper,1997,
hep-th/9708008,Keith A. Olive,1997,
hep-th/9709118,Ofer Aharony,1997,
hep-th/9709118,Micha Berkooz,1997,
hep-th/9709118,Shamit Kachru,1997,
hep-th/9709118,Eva Silverstein,1997,
hep-th/9701066,Vladimir Korepin,1997,"ITP, SUNY at Stony Brook, USA"
hep-th/9701066,Nikita Slavnov,1997,"Steklov Mathematical Institute, Russia"
hep-th/9710220,Marijan Ribaric,1997,
hep-th/9710220,Luka Sustersic,1997,"Jozef Stefan Institute, Ljubljana, Slovenia"
hep-th/9704097,Philip Candelas,1997,
hep-th/9704097,Eugene Perevalov,1997,
hep-th/9704097,Govindan Rajesh,1997,
hep-th/9710244,M. S. Bremer,1997,
hep-th/9710244,H. Lu,1997,
hep-th/9710244,C. N. Pope,1997,
hep-th/9710244,K. S. Stelle,1997,
hep-th/9706040,Yi-Yen Wu,1997,"UC Berkeley, Lawrence Berkeley Lab"
hep-th/9711137,I. V. Tyutin,1997,
hep-th/9711137,Vad. Yu. Zeitlin,1997,Lebedev Physical Institute
hep-th/9710221,Hsien-Chung Kao,1997,
hep-th/9712008,M. C. Diamantini,1997,
hep-th/9712008,C. A. Trugenberger,1997,
hep-th/9712065,Gordon Chalmers,1997,
hep-th/9710062,Gerald Dunne,1997,
hep-th/9710062,Theodore M. Hall,1997,
hep-th/9711115,H. Garcia-Compean,1997,
hep-th/9711115,O. Obregon,1997,
hep-th/9711115,J. F. Plebanski,1997,
hep-th/9711115,C. Ramirez,1997,
hep-th/9705047,Alexios P. Polychronakos,1997,
hep-th/9703069,Ioannis P. Zois,1997,"Mathematical Institute, Oxford University"
hep-th/9711130,Ashoke Sen,1997,
hep-th/9706175,M. B. Green,1997,
hep-th/9706175,M. Gutperle,1997,
hep-th/9706175,P. Vanhove,1997,
hep-th/9702184,S. Deser,1997,
hep-th/9702184,A. Gomberoff,1997,
hep-th/9702184,M. Henneaux,1997,
hep-th/9702184,C. Teitelboim,1997,
hep-th/9707176,Ali H. Chamseddine,1997,
hep-th/9707176,Mikhail S. Volkov,1997,
hep-th/9706210,Fernando Quevedo,1997,
hep-th/9701046,Ralf D. Tscheuschner,1997,
hep-th/9712072,Daniela Bigatti,1997,
hep-th/9712072,Leonard Susskind,1997,
hep-th/9710138,Debashis Gangopadhyay,1997,
hep-th/9710138,Soumitra Sengupta,1997,
hep-th/9701005,Detlev Buchholz,1997,
hep-th/9701005,Izumi Ojima,1997,
hep-th/9705152,Nobuhito Maru,1997,
hep-th/9705152,Jun Nishimura,1997,
hep-th/9708050,J. De Boer,1997,
hep-th/9708050,M. B. Halpern,1997,
hep-th/9709187,A. Kudryavtsev,1997,
hep-th/9709187,B. Piette,1997,
hep-th/9709187,W. J. Zakrzewski,1997,
hep-th/9711043,Eric Bergshoeff,1997,
hep-th/9711043,Joaquim Gomis,1997,
hep-th/9711043,Paul K. Townsend,1997,
hep-th/9710128,John M. Cornwall,1997,
hep-th/9706224,Miao Li,1997,Univ. of Chicago
hep-th/9706224,Yong-Shi Wu,1997,Univ. of Utah
hep-th/9704157,Peter E. Haagensen,1997,
hep-th/9704157,Kasper Olsen,1997,
hep-th/9710054,Mohamed Benarous,1997,
hep-th/9701137,Oren Bergman,1997,
hep-th/9701137,Matthias R. Gaberdiel,1997,
hep-th/9703194,Michael Bershadsky,1997,
hep-th/9703194,Vladimir Sadov,1997,
hep-th/9703141,Ian I. Kogan,1997,
hep-th/9703141,John F. Wheater,1997,
hep-th/9706071,Mirjam Cvetic,1997,
hep-th/9706071,Finn Larsen,1997,
hep-th/9704147,W. A. Sabra,1997,
hep-th/9711109,Amir H. Fatollahi,1997,
hep-th/9711109,Kamran Kaviani,1997,
hep-th/9711109,Shahrokh Parvizi,1997,
hep-th/9710077,H. Pierre Noyes,1997,
hep-th/9710077,E. D. Jones,1997,
hep-th/9703178,V. P. Frolov,1997,
hep-th/9703178,D. V. Fursaev,1997,
hep-th/9701191,Csaba Csaki,1997,MIT
hep-th/9701191,Martin Schmaltz,1997,Boston U.
hep-th/9701191,Witold Skiba,1997,MIT
hep-th/9701191,John Terning,1997,UC Berkeley
hep-th/9703168,H. Arodz,1997,
hep-th/9709050,Gary T. Horowitz,1997,
hep-th/9709050,Simon F. Ross,1997,
hep-th/9706008,Hongsu Kim,1997,"Ewha Women's Univ., Korea"
hep-th/9707058,Ricardo Amorim,1997,
hep-th/9707058,Ashok Das,1997,
hep-th/9705096,Christian Wieczerkowski,1997,
hep-th/9706167,Hitoshi Miyazaki,1997,
hep-th/9706167,Izumi Tsutsui,1997,
hep-th/9704031,Carlos Castro,1997,
hep-th/9704178,Andre Lukas,1997,
hep-th/9704178,Burt A. Ovrut,1997,
hep-th/9701015,Cumrun Vafa,1997,
hep-th/9701015,Barton Zwiebach,1997,
hep-th/9704027,M. Magro,1997,
hep-th/9704027,L. Oraifeartaigh,1997,
hep-th/9704027,I. Sachs,1997,Dublin Institute for Advanced Studies
hep-th/9706145,Adel Bilal,1997,
hep-th/9706145,Frank Ferrari,1997,ENS Paris
hep-th/9709068,I. P. Ennes,1997,
hep-th/9709068,P. Ramadevi,1997,
hep-th/9709068,A. V. Ramallo,1997,
hep-th/9709068,J. M. Sanchez De Santos,1997,
hep-th/9712123,V. P. Gusynin,1997,
hep-th/9712123,M. Reenders,1997,
hep-th/9707196,Chien-Hao Liu,1997,
hep-th/9702062,Naohisa Ogawa,1997,
hep-th/9706212,Stanislaw D. Glazek,1997,"Institute of Theoretical Physics, Warsaw University"
hep-th/9702029,Seungjoon Hyun,1997,
hep-th/9702029,Junsoo Shin,1997,
hep-th/9702029,Jae Hyung Yee,1997,
hep-th/9702029,Hyuk-Jae Lee,1997,
hep-th/9701153,Shijong Ryang,1997,
hep-th/9706127,A. Brandhuber,1997,
hep-th/9706127,N. Itzhaki,1997,
hep-th/9706127,V. Kaplunovsky,1997,
hep-th/9706127,J. Sonnenschein,1997,
hep-th/9706127,S. Yankielowicz,1997,
hep-th/9705154,Luca Lusanna,1997,INFN Florence
hep-th/9710205,M. N. Chernodub,1997,
hep-th/9710205,M. I. Polikarpov,1997,
hep-th/9711058,Kanehisa Takasaki,1997,Kyoto University
hep-th/9701123,A. Marshakov,1997,
hep-th/9701123,A. Mironov,1997,
hep-th/9701123,A. Morozov,1997,
hep-th/9702106,J. M. F. Labastida,1997,
hep-th/9702106,Carlos Lozano,1997,
hep-th/9704025,Hideaki Aoyama,1997,
hep-th/9704025,Toshiyuki Harano,1997,
hep-th/9704025,Hisashi Kikuchi,1997,
hep-th/9704025,Ikuo Okouchi,1997,
hep-th/9704025,Masatoshi Sato,1997,
hep-th/9704025,Shinya Wada,1997,
hep-th/9712075,C. M. Hull,1997,
hep-th/9707194,C. Klimcik,1997,
hep-th/9702138,Robert Carroll,1997,"Mathematics Dept., University of Illinois, Urbana, IL"
hep-th/9703100,Jan De Boer,1997,
hep-th/9703100,Kentaro Hori,1997,
hep-th/9703100,Yaron Oz,1997,
hep-th/9709170,Sumati Surya,1997,
hep-th/9709170,Sachindeo Vaidya,1997,
hep-th/9709162,Franco Ferrari,1997,
hep-th/9709162,Jan T. Sobczyk,1997,
hep-th/9710047,Bertfried Fauser,1997,
hep-th/9711181,Ali H. Chamseddine,1997,
hep-th/9711181,Mikhail S. Volkov,1997,
hep-th/9704109,Nathan Berkovits,1997,"IFT/UNESP, Sao Paulo"
hep-th/9706106,M. N. Stoilov,1997,
hep-th/9707116,Z. Was,1997,
hep-th/9702060,Jorge Alfaro,1997,Universidad Catolica de Chile
hep-th/9709124,Ramzi R. Khuri,1997,
hep-th/9710191,Lee Smolin,1997,
hep-th/9701187,Igor R. Klebanov,1997,
hep-th/9701187,Samir D. Mathur,1997,
hep-th/9707164,Suresh Govindarajan,1997,"University of Bonn, Germany"
hep-th/9702091,Stephen Pinsky,1997,Ohio State University
hep-th/9708001,Machiko Hatsuda,1997,
hep-th/9708001,Kiyoshi Kamimura,1997,
