paper_id,year,title,raw_authors
hep-th/9702129,1997,Vacuum polarization and the geometric phase: Gauge invariance,Jouko Mickelsson
hep-th/9702008,1997,Covariant Field Equations of the M Theory Five-Brane,"P.S. Howe, E. Sezgin, P.C. West"
hep-th/9708008,1997,Singularities In Scalar-Tensor Cosmologies,Nemanja Kaloper and Keith A. Olive
hep-th/9709118,1997,"Matrix Description of (1,0) Theories in Six Dimensions","Ofer Aharony, Micha Berkooz, Shamit Kachru, and Eva Silverstein"
hep-th/9701066,1997,Time and Temperature Dependent Correlation Functions of 1D Models of Quantum Statistical Mechanics,"Vladimir Korepin (ITP, SUNY at Stony Brook, USA) and Nikita Slavnov (Steklov Mathematical Institute, Russia)"
hep-th/9710220,1997,Transport-theoretic Extensions of Quantum Field Theories,"Marijan Ribaric and Luka Sustersic (Jozef Stefan Institute, Ljubljana, Slovenia)"
hep-th/9704097,1997,Toric Geometry and Enhanced Gauge Symmetry of F-Theory/Heterotic Vacua,"Philip Candelas, Eugene Perevalov and Govindan Rajesh"
hep-th/9710244,1997,Dirac Quantisation Conditions and Kaluza-Klein Reduction,"M.S. Bremer, H. Lu, C.N. Pope and K.S. Stelle"
hep-th/9706040,1997,Supersymmetry Breaking in Superstring Theory by Gaugino Condensation and its Phenomenology,"Yi-Yen Wu (UC Berkeley, Lawrence Berkeley Lab)"
hep-th/9711137,1997,Gauge Invariance of QED$_{2+1}$,I.V.Tyutin and Vad.Yu.Zeitlin (Lebedev Physical Institute)
hep-th/9710221,1997,The Non-abelian Chern-Simons Coefficient in the Higgs Phase,Hsien-chung Kao
hep-th/9712008,1997,Surfaces with Long-Range Correlations from Non-Critical Strings,M. C. Diamantini and C. A. Trugenberger
hep-th/9712065,1997,Quantization of Non-Polynomial Field Theories,Gordon Chalmers
hep-th/9710062,1997,An Exact QED_{3+1} Effective Action,Gerald Dunne and Theodore M. Hall
hep-th/9711115,1997,Towards a Gravitational Analog to S-duality in Non-abelian Gauge Theories,"H. Garcia-Compean, O. Obregon, J.F.Plebanski, C. Ramirez"
hep-th/9705047,1997,Multidimensional Calogero systems from matrix models,Alexios P. Polychronakos
hep-th/9703069,1997,On Polyakov's basic variational formula for loop spaces,"Ioannis P. Zois (Mathematical Institute, Oxford University)"
hep-th/9711130,1997,String Network,Ashoke Sen
hep-th/9706175,1997,One loop in eleven dimensions,"M.B. Green, M. Gutperle, P. Vanhove"
hep-th/9702184,1997,"Duality, Self-Duality, Sources and Charge Quantization in Abelian N-Form Theories","S. Deser, A. Gomberoff, M. Henneaux and C. Teitelboim"
hep-th/9707176,1997,Non-Abelian BPS Monopoles in N=4 Gauged Supergravity,Ali H. Chamseddine and Mikhail S. Volkov
hep-th/9706210,1997,Duality and Global Symmetries,Fernando Quevedo
hep-th/9701046,1997,Superconducting phase transitions in 2+1 dimensional quantum field theories modeling generalized polaronic interactions. Part I: Jahn-Teller inspired models,Ralf D. Tscheuschner
hep-th/9712072,1997,Review of Matrix Theory,"Daniela Bigatti, Leonard Susskind"
hep-th/9710138,1997,Construction of Maximally Symmetric Solutions for the Metric,Debashis Gangopadhyay and Soumitra Sengupta
hep-th/9701005,1997,Spontaneous Collapse of Supersymmetry,Detlev Buchholz and Izumi Ojima
hep-th/9705152,1997,Lattice Formulation of Supersymmetric Yang-Mills Theories without Fine-Tuning,Nobuhito Maru and Jun Nishimura
hep-th/9708050,1997,Unification of the General Non-Linear Sigma Model and the Virasoro Master Equation,J. de Boer and M.B. Halpern
